id,app,name,applied
1,contenttypes,0001_initial,2021-10-18 21:13:55.598336
2,auth,0001_initial,2021-10-18 21:13:55.633368
3,admin,0001_initial,2021-10-18 21:13:55.666398
4,admin,0002_logentry_remove_auto_add,2021-10-18 21:13:55.689418
5,admin,0003_logentry_add_action_flag_choices,2021-10-18 21:13:55.710438
6,contenttypes,0002_remove_content_type_name,2021-10-18 21:13:55.737462
7,auth,0002_alter_permission_name_max_length,2021-10-18 21:13:55.755479
8,auth,0003_alter_user_email_max_length,2021-10-18 21:13:55.774496
9,auth,0004_alter_user_username_opts,2021-10-18 21:13:55.790518
10,auth,0005_alter_user_last_login_null,2021-10-18 21:13:55.809529
11,auth,0006_require_contenttypes_0002,2021-10-18 21:13:55.820537
12,auth,0007_alter_validators_add_error_messages,2021-10-18 21:13:55.837553
13,auth,0008_alter_user_username_max_length,2021-10-18 21:13:55.858572
14,auth,0009_alter_user_last_name_max_length,2021-10-18 21:13:55.876589
15,auth,0010_alter_group_name_max_length,2021-10-18 21:13:55.895606
16,auth,0011_update_proxy_permissions,2021-10-18 21:13:55.911621
17,auth,0012_alter_user_first_name_max_length,2021-10-18 21:13:55.933641
18,dashboard,0001_initial,2021-10-18 21:13:55.957662
19,sessions,0001_initial,2021-10-18 21:13:55.982685
20,dashboard,0002_alter_user_type_level,2021-10-19 20:04:45.975824
21,dashboard,0003_auto_20211020_0633,2021-10-19 20:04:45.997844
22,dashboard,0004_auto_20211020_0655,2021-10-19 20:25:49.399966
23,dashboard,0005_alter_user_status,2021-10-19 21:00:57.498259
24,dashboard,0006_auto_20211020_0738,2021-10-19 21:08:40.540188
25,dashboard,0007_alter_timesheet_entry_shift_length,2021-10-19 21:09:52.470086
26,dashboard,0008_alter_task_task_id,2021-10-19 21:22:11.586697
27,dashboard,0009_auto_20211104_1943,2021-11-04 09:13:38.041171
28,dashboard,0010_db_settings,2021-11-16 21:56:53.892038
