task_id,user,type,job,machine,datetime
d19ef69d8fb029de681c45fa726fdd20,537904,100,7415,33,2021-06-03 11:44:00
4f5c8418a0259bf2ac62df41c8161ae7,537904,101,7415,33,2021-06-03 14:16:00
522185fa25da60f876ac5966441b73cd,520458,100,8100,19,2021-06-03 14:00:00
f1fdced31024d25823bdc87b46787f27,520458,101,8100,19,2021-06-03 15:00:00
439a4b4e5780b7fdd479f71f82ad0db2,849396,100,7415,24,2021-06-03 10:20:00
9a6bd8764acc88375ed1df67006bc4cf,849396,101,7415,24,2021-06-03 11:40:00
45728986c6501538853ea47cb5f62124,273059,100,8100,16,2021-06-03 11:57:42
fbe69201ae8d01a1c31deb6c94376700,273059,101,8100,16,2021-06-03 14:02:18
0e963323e1853f19c162fc7838c245bd,607031,100,7415,4,2021-06-03 11:40:00
80c51e562257d7a4f98f50f5827c47f0,607031,101,7415,4,2021-06-03 14:20:00
3170cc25cc3f082f9e2c87ea1786cad9,429932,100,7415,32,2021-06-03 11:00:00
6f64e61e28ee74d121a6a71a4576c33e,429932,101,7415,32,2021-06-03 13:00:00
c484f1893bd79fddd39d1524da6853f1,279842,100,8100,26,2021-06-03 10:40:00
dd8fd1a462a67faf5d8984bb5ec3a601,279842,101,8100,26,2021-06-03 13:20:00
ef9fb59b2e48a15bdb5a8670fa7a3a68,649406,100,7415,17,2021-06-03 11:56:00
b587bdedfa0180e1b20d44817093c28d,649406,101,7415,17,2021-06-03 14:04:00
e4ccad6db07455ef7f90c62db7efcbae,803735,100,7415,1,2021-06-03 12:04:00
486a44539b60f4b175dee95e043591bb,803735,101,7415,1,2021-06-03 13:56:00
c1d04c947226bfd773ffffc0fa5890ae,700319,100,7415,7,2021-06-03 10:28:00
2155f693e089189c584e99242423e239,700319,101,7415,7,2021-06-03 11:32:00
d2021b6bc34de433bf70cceb8f8f3392,146589,100,7415,2,2021-06-03 10:40:00
0e6e2fbc33a2ce0897166198064eef61,146589,101,7415,2,2021-06-03 13:20:00
769b630b28e1cd258f96c701b8cc18a4,490514,100,7415,10,2021-06-03 13:40:00
f85c608ba935866d2464aa0dcaa31587,490514,101,7415,10,2021-06-03 15:20:00
5342230cb3535a10251981008ef5057f,313193,100,7415,18,2021-06-03 10:40:00
f7d6e5972ffa828f11389101bd9d277f,313193,101,7415,18,2021-06-03 13:20:00
c5de2804a52e61ae3874b4df7b088cf0,709160,100,7415,7,2021-06-04 14:47:30
33ae20d589962f7b35952cccfb9eb61b,709160,101,7415,7,2021-06-04 15:42:30
05eff6ffbaa51c326033b1bf448b989c,208798,100,8100,2,2021-06-04 12:04:00
f53913c285b012d8087fba1ea2c657cb,208798,101,8100,2,2021-06-04 13:56:00
3c5c7593a51feab02e44e351050e03ad,263151,100,7035,27,2021-06-04 13:04:22
9a646abf66138f684379d86d5e56070a,263151,101,7035,27,2021-06-04 17:25:37
96c67a4ed664dfb108d82d4d5a78622c,401677,100,7035,25,2021-06-04 12:25:00
7167cd943839930813c9c2de339f00e1,401677,101,7035,25,2021-06-04 16:35:00
55340c69e54f636919c5787a2c5175a8,551610,100,7415,5,2021-06-04 10:44:00
70460b060f86b0eaecfea8a5580f2d0e,551610,101,7415,5,2021-06-04 13:16:00
ad64619ef0cd597a04976a7885d6c300,875242,100,7415,9,2021-06-04 13:40:00
c6fc23a26781c6d2584195a536b63ed8,875242,101,7415,9,2021-06-04 15:20:00
bdea782863718af59430994f26a31368,531034,100,8100,16,2021-06-04 11:40:00
da23331787451034c81e9c2c064a24a8,531034,101,8100,16,2021-06-04 14:20:00
ecce853c051c2985e7ec85db95120f7c,884677,100,8100,14,2021-06-04 14:22:45
3a97428b34c7ef88dca45d4687022959,884677,101,8100,14,2021-06-04 16:07:15
1cdf926eef34973ee5c1c7cbe96468f2,724567,100,7415,29,2021-06-04 13:45:30
63b55761a71b58c7fd36608df5d7227e,724567,101,7415,29,2021-06-04 15:14:30
858f0298b7f42a9970dbb2115ea91389,255320,100,8100,31,2021-06-04 10:32:00
3db4c7075fc5f0101e97464131be2612,255320,101,8100,31,2021-06-04 11:28:00
fbb0a00048aa25b2a26f1bd4bc3948c8,286230,100,7035,32,2021-06-04 09:50:00
7deb8dc1ea4b5ec5d60f2a42257c6819,286230,101,7035,32,2021-06-04 16:10:00
e82b9f35bab8c0c93287ab3c34208d02,720541,100,8100,21,2021-06-04 13:42:30
1515dbd60f91cb8d93384113e42e65ed,720541,101,8100,21,2021-06-04 15:17:30
53fcea8a62964a3fc8813e6faa16db3e,787556,100,7035,30,2021-06-04 08:36:00
88718abff1a4971a33baf8f51a0e46b1,787556,101,7035,30,2021-06-04 15:24:00
